job,marital,education,default,housing,loan,y
admin.,married,professional.course,no,no,yes,no
admin.,single,high.school,unknown,no,no,no
management,married,university.degree,no,yes,no,no
entrepreneur,married,professional.course,no,no,no,no
management,divorced,university.degree,unknown,yes,no,no
technician,married,basic.4y,unknown,no,no,no
housemaid,married,professional.course,unknown,yes,no,yes
self-employed,married,university.degree,no,no,no,no
management,married,professional.course,unknown,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
housemaid,married,basic.4y,unknown,yes,no,no
admin.,single,high.school,no,yes,no,no
technician,married,professional.course,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
management,single,university.degree,no,no,no,no
retired,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
housemaid,married,basic.4y,no,no,no,no
entrepreneur,married,basic.9y,no,no,no,no
admin.,married,university.degree,unknown,no,no,no
self-employed,married,basic.9y,no,yes,no,no
housemaid,married,basic.6y,unknown,yes,no,no
self-employed,divorced,basic.9y,no,yes,no,no
self-employed,married,university.degree,no,no,no,no
unemployed,single,basic.9y,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,yes,no
admin.,married,high.school,unknown,yes,no,no
retired,divorced,university.degree,unknown,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
management,married,university.degree,unknown,no,no,no
student,single,university.degree,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
services,married,high.school,no,no,no,no
technician,married,basic.9y,no,no,no,no
technician,married,university.degree,no,no,no,no
retired,married,high.school,no,no,no,no
services,married,basic.6y,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
entrepreneur,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
services,married,high.school,no,yes,no,no
technician,married,basic.9y,no,no,no,no
admin.,married,high.school,no,no,no,no
entrepreneur,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
technician,single,professional.course,no,no,no,no
admin.,single,unknown,unknown,yes,yes,no
blue-collar,married,professional.course,unknown,no,no,no
admin.,single,high.school,no,yes,yes,no
self-employed,single,basic.4y,unknown,yes,no,no
technician,single,university.degree,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
retired,married,basic.4y,no,no,no,no
admin.,married,high.school,no,no,no,no
unemployed,divorced,university.degree,no,no,no,no
blue-collar,married,unknown,unknown,yes,no,no
admin.,divorced,high.school,no,no,no,no
housemaid,married,basic.4y,no,yes,yes,no
management,married,basic.4y,unknown,yes,no,no
technician,single,professional.course,no,yes,yes,no
blue-collar,married,basic.9y,no,no,yes,no
blue-collar,divorced,basic.6y,unknown,yes,no,no
unemployed,married,basic.4y,unknown,yes,yes,no
services,married,high.school,no,yes,no,no
admin.,single,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
services,divorced,basic.9y,no,no,yes,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,professional.course,no,no,no,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
services,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,married,professional.course,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
unemployed,married,basic.4y,no,no,no,no
services,married,high.school,no,yes,no,no
technician,married,university.degree,unknown,no,no,no
technician,married,professional.course,no,no,no,no
technician,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
self-employed,married,university.degree,unknown,no,no,no
technician,married,unknown,unknown,unknown,unknown,no
student,single,high.school,unknown,no,no,no
blue-collar,married,basic.4y,unknown,unknown,unknown,no
housemaid,divorced,unknown,no,yes,no,no
management,married,unknown,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
housemaid,married,basic.9y,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,single,unknown,unknown,no,yes,no
blue-collar,married,basic.9y,no,unknown,unknown,no
admin.,married,high.school,no,yes,no,no
services,married,high.school,unknown,no,no,no
technician,married,basic.6y,no,yes,no,no
services,married,high.school,unknown,yes,no,no
technician,divorced,professional.course,no,no,no,no
blue-collar,married,basic.6y,no,unknown,unknown,no
blue-collar,single,basic.6y,no,yes,no,no
self-employed,married,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,basic.4y,unknown,no,yes,no
technician,married,professional.course,no,yes,no,no
blue-collar,single,basic.9y,unknown,no,no,no
blue-collar,single,basic.9y,unknown,unknown,unknown,no
management,single,university.degree,unknown,yes,yes,no
management,married,high.school,no,no,no,no
entrepreneur,married,basic.9y,no,no,no,no
unknown,single,basic.9y,unknown,no,no,no
services,single,unknown,no,yes,no,no
blue-collar,single,high.school,no,no,no,no
blue-collar,divorced,unknown,no,yes,no,no
blue-collar,married,basic.9y,no,unknown,unknown,no
blue-collar,divorced,basic.6y,unknown,yes,yes,no
blue-collar,single,basic.4y,unknown,yes,no,no
services,divorced,high.school,no,no,no,no
entrepreneur,single,professional.course,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
technician,married,basic.6y,no,no,no,no
services,single,unknown,no,yes,no,no
entrepreneur,married,university.degree,unknown,yes,no,no
admin.,single,high.school,no,no,no,no
admin.,single,university.degree,no,yes,yes,no
self-employed,single,high.school,unknown,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,single,high.school,unknown,unknown,unknown,no
blue-collar,divorced,basic.9y,no,no,no,no
technician,single,unknown,unknown,yes,no,no
housemaid,married,basic.4y,no,yes,no,no
management,married,high.school,unknown,yes,no,no
admin.,single,basic.9y,no,yes,no,no
admin.,single,university.degree,no,no,no,yes
admin.,married,university.degree,unknown,no,no,no
blue-collar,married,basic.6y,no,no,no,no
management,single,university.degree,no,yes,no,no
management,divorced,high.school,no,no,yes,no
technician,married,professional.course,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
services,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,yes,no
technician,married,university.degree,no,yes,no,no
entrepreneur,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,no,no,no
student,single,basic.9y,unknown,yes,yes,yes
technician,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,unknown,no,yes,no,no
technician,married,professional.course,no,no,no,no
entrepreneur,married,basic.9y,no,yes,yes,no
admin.,single,university.degree,unknown,yes,no,no
admin.,divorced,high.school,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,yes,yes,no
services,single,high.school,no,no,no,no
admin.,single,high.school,no,yes,no,no
technician,married,professional.course,no,yes,no,no
management,divorced,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
services,married,basic.6y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
housemaid,married,basic.4y,unknown,yes,no,no
admin.,married,university.degree,no,no,no,no
entrepreneur,married,university.degree,no,yes,no,yes
blue-collar,married,professional.course,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,single,unknown,no,yes,no,no
management,married,university.degree,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
technician,married,professional.course,unknown,yes,no,no
admin.,single,university.degree,no,yes,no,no
blue-collar,married,unknown,no,yes,yes,no
blue-collar,married,high.school,no,yes,no,no
technician,married,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,unknown,unknown,no,no,no
admin.,divorced,university.degree,no,yes,no,no
blue-collar,single,basic.9y,unknown,yes,no,yes
blue-collar,married,high.school,no,yes,no,no
blue-collar,married,high.school,no,yes,no,no
entrepreneur,divorced,high.school,unknown,yes,no,no
technician,single,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,yes,yes,no
blue-collar,married,basic.4y,no,yes,no,yes
admin.,married,university.degree,no,yes,no,no
unknown,single,basic.9y,unknown,yes,no,no
services,married,high.school,unknown,yes,no,no
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,single,university.degree,no,yes,no,no
retired,married,basic.4y,unknown,yes,no,no
blue-collar,divorced,unknown,no,yes,no,no
unknown,married,high.school,unknown,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,married,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
services,single,unknown,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
retired,single,high.school,no,yes,no,no
technician,single,professional.course,no,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
management,married,basic.6y,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
technician,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
management,divorced,university.degree,no,unknown,unknown,no
technician,married,basic.4y,unknown,no,yes,no
technician,single,professional.course,no,no,no,no
blue-collar,single,basic.9y,no,no,no,no
admin.,divorced,basic.9y,unknown,no,no,no
services,divorced,high.school,no,no,no,no
blue-collar,married,unknown,unknown,no,yes,no
blue-collar,divorced,basic.6y,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
admin.,married,professional.course,no,no,no,no
admin.,single,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,yes,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
retired,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
services,single,high.school,no,yes,no,no
retired,divorced,basic.4y,no,yes,no,no
entrepreneur,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,single,basic.6y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
technician,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
services,married,high.school,unknown,yes,no,no
retired,married,basic.4y,unknown,yes,no,no
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
management,married,high.school,unknown,yes,yes,no
admin.,married,basic.9y,unknown,no,no,no
management,divorced,university.degree,no,yes,no,no
admin.,single,university.degree,unknown,yes,no,no
technician,married,professional.course,unknown,yes,no,no
technician,single,university.degree,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,unknown,unknown,no
services,divorced,high.school,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
services,divorced,high.school,unknown,no,no,no
admin.,married,university.degree,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
technician,married,high.school,no,yes,no,no
blue-collar,single,basic.6y,no,yes,no,no
services,divorced,high.school,no,yes,yes,no
technician,divorced,unknown,no,yes,yes,no
services,divorced,high.school,no,no,yes,no
management,married,basic.9y,no,no,no,no
housemaid,divorced,basic.9y,unknown,no,no,no
technician,married,professional.course,no,no,no,no
services,married,unknown,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,single,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
services,married,high.school,no,no,no,no
unknown,married,unknown,unknown,no,no,no
blue-collar,married,professional.course,no,no,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
services,married,unknown,no,no,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
unemployed,divorced,professional.course,no,no,no,no
